startsiden-frontpage-api;50
startsiden-frontpage-config;263
startsiden-frontpage-layout;5673
startsiden-frontpage-playpen;40
startsiden-frontpage-schema;648
startsiden-frontpage-web;1183
startsiden-frontpage-xapian;56
startsiden-geoip;13
startsiden-hyphenator;48
startsiden-javascript-qunit;3
startsiden-javascript;9
startsiden-job-abcnyheterbox;32
startsiden-job-calendar;12
startsiden-job-feed;61
startsiden-job-gizabox;7
startsiden-job-grautjob;457
startsiden-job-html;4
startsiden-job-navigation;36
startsiden-job-newsfeed;87
startsiden-job-norgesbank;11
startsiden-job-renderdata;103
startsiden-job-saltem;23
startsiden-job-snltrivia;8
startsiden-job-stormweather;21
startsiden-job-webscraper;9
startsiden-job;101
startsiden-jobrunner;46
startsiden-logger;8
startsiden-module-crowd;6
startsiden-multijob;593
startsiden-nagios-plugins;74
startsiden-navigation;21
startsiden-nettguide-admin;8
startsiden-nettguide-api;151
startsiden-nettguide-search-data;36
startsiden-nodejs-0.12;11
startsiden-nodejs;20
startsiden-phantomjs;14
startsiden-phonegap;476
startsiden-playpen;563
startsiden-prototyping;2
startsiden-pulldocker;23
startsiden-sokm;57
startsiden-static-common;65
startsiden-templates-attic;8
startsiden-test-seleneese;25
startsiden-test;5
startsiden-useragent;25
startsiden-varnish-tools;14
startsiden-video-templates;31
startsiden-video-web;463
startsiden-viggo-mailbot;10
startsiden-webcache;50
startsiden-xapian;65
startsiden-yr-parser;74
sticky-ad;30
strapgap;551
strapr-guide;1148
symfony;7
tap-parser-sourcehandler-javascript;7
tap-parser-sourcehandler-teamcity;1
teamcity-parser;1
template-toolkit-macros;3
test-tt;2
testdata;43
titanium-googleappconversiontracking;3
titanium-social-share;5
titanium-widgets;119
touchswipe;13
training;2987
trinkadee-invites-app;54
trinkadee-mvp;20
urban-maid;471
vagrant-build-server;85
vagrant-gonzo;7
video-hvordan-web;490
video-sedenne;2688
video-vagrant;106
vipr-admin-client-rest;8
vipr-admin-web;2105
vipr-admin;36
vipr-backend;4
vipr-player;1030
vipr-ws-client;210
vipr-xapian;422
vipr;2296
weather;298
web-style-guide;312
xml-atom-ext-novus;29
xml-atom-ext-xstream;19
xml-feed-abcnyheter;8
xml-feed-xstream;7
xstream-client;258
