data-server;15
robohydra-plugins;14
startsiden-phantomjs;14
startsiden-varnish-tools;14
giza2-templates-tools;13
navigation-puppet;13
novus-categorizer-eval;13
sedenne-embedhandler;13
startsiden-geoip;13
touchswipe;13
catalyst-controller-bookmarks-api;12
datetime-format-startsiden;12
startsiden-job-calendar;12
abc-ga-client;11
abc-rum;11
avspark;11
mediamaker-client;11
meetv-banner;11
net-search-dinpris;11
net-sms-vianett;11
novus-bundle;11
perl-critic-startsiden;11
salg.startsiden.no;11
startsiden-job-norgesbank;11
startsiden-nodejs-0.12;11
abc-click-tagging-debugger;10
net-sms-mobiletech;10
novus-vagrant;10
startsiden-viggo-mailbot;10
catalystx-cli;9
startsiden-javascript;9
startsiden-job-webscraper;9
cmdb-tools;8
data-store;8
diem;8
football-selenium-testsuite;8
nettguide-vagrant;8
nuggad;8
skatt-search-dev-tools;8
startsiden-job-snltrivia;8
startsiden-logger;8
startsiden-nettguide-admin;8
startsiden-templates-attic;8
vipr-admin-client-rest;8
xml-feed-abcnyheter;8
bit-compare;7
nagios-notify-rabbitmq;7
net-search-genus;7
net-search-katalog;7
search-admin;7
search-mobile;7
search-utils;7
startsiden-campaigntracker;7
startsiden-job-gizabox;7
symfony;7
tap-parser-sourcehandler-javascript;7
vagrant-gonzo;7
xml-feed-xstream;7
abcnyheter-overblikk;6
emediate-gtm;6
responsive;6
search-csw;6
smartbanner;6
startsiden-module-crowd;6
criteo;5
getstartsiden;5
github-download-repo;5
module-install-minifier;5
nettguide-distribution-module;5
starpointers-initscripts;5
startsiden-bigscreen;5
startsiden-test;5
titanium-social-share;5
clicktale-templates;4
filemanager;4
geoip-map;4
konsepthuset;4
startsiden-bash-completion;4
startsiden-frontend-developer-testsuite;4
startsiden-job-html;4
vipr-backend;4
avspark-db;3
osx-alfred;3
selenium-testing-perl-poc;3
startsiden-build-jabber;3
startsiden-javascript-qunit;3
template-toolkit-macros;3
titanium-googleappconversiontracking;3
emediate-health-check;2
nettguide-api;2
qbrick-client;2
search-schema;2
startsiden-prototyping;2
test-tt;2
tap-parser-sourcehandler-teamcity;1
teamcity-parser;1
